generation,max,mean,std,min
0,-74.26738547027328,-479.1645160566065,187.8657089169332,-857.768307482506
1,-247.36761820783565,-596.76779338362,232.64325915391532,-1057.8795427857076
2,144.48704931166756,-661.4270406839174,351.73931316381083,-1162.9000864268844
3,-348.0831370718057,-708.1605190041532,296.20180482667683,-1402.754594319358
4,-361.88232425786634,-645.8860407763258,214.29608234443424,-1125.823418811621
5,36.43552596722996,-578.0144988235132,305.7616660556638,-1228.642873032267
6,-48.55744353473593,-415.92598313122767,193.61487940341434,-755.9163255213874
7,-330.33638226552347,-632.8804549454277,190.60921863071107,-1164.5379312638383
8,-197.6846568233833,-736.577645728609,474.3746062158744,-2217.9688733962944
9,38.867477366605534,-520.3643896337602,338.6623952725832,-1346.446978269528
10,-137.8968683711506,-437.49267599527644,200.62907031160617,-744.2539000224255
11,177.3829527481926,-433.5779265996373,254.4260539615892,-884.9015731758337
12,270.4541689142397,-430.56212240767593,380.1995678777921,-1379.4950332375072
13,109.90465620979609,-449.48130546709245,266.5672428656294,-1113.2658612872121
14,-152.22671050384147,-486.400231811768,133.79429338689087,-759.1494904212199
15,140.1186104736424,-397.9869383607408,196.1728941018718,-634.1402942729445
16,-95.56396327174676,-364.19027049980264,158.9382882688604,-652.8803431712479
17,81.33499381006702,-317.9217335273937,230.50637608102528,-699.6708835033721
18,482.26629123786955,-199.12795054058998,354.9420898543566,-608.3900996477137
19,420.5879649701638,-117.92331752128864,275.1917672243662,-597.5176509843756
20,243.24481203772174,-26.258099260969846,218.13314029959355,-555.7391999039003
21,530.1172432766127,24.27335049102186,267.6473662996064,-393.96704257887717
22,364.80826465222515,-1.5539292189180856,231.34771292760598,-424.87331233793304
23,586.0901429548559,27.006356943236128,333.3325816012838,-552.5773474502475
24,567.1577126534222,35.89073359550719,326.10627874392185,-576.8731473719271
25,585.9638308167868,138.54332096564895,393.0412031010254,-1070.096879169781
26,567.1714753421413,-4.839814265617857,390.0596526400767,-832.8114215101199
27,574.4566530455311,-26.88524521161234,461.82872208132125,-1061.7222331706434
28,432.10515873187427,-43.544409454301515,354.93376212562504,-609.1967315705986
29,529.7067333154671,128.92368136232784,296.45104236317644,-482.07421160030015
30,580.8341281652366,15.40129384105664,373.82816445396435,-541.7246645965118
31,585.717977878806,88.55214670379253,423.349706208056,-692.9384458162276
32,585.6905848245099,75.87684793625088,471.90437652555954,-919.5741244316989
33,589.3893143944027,-87.36944171403819,454.66363542084525,-1042.6472833904381
34,578.2436107665161,-38.17232785959747,523.4207309311854,-1253.5161702102453
35,589.0978932684723,226.88524556266992,356.9233543671314,-599.9659218206083
36,592.1242333120358,272.36549393239653,328.4237355472672,-513.9338476943705
37,590.2561849731898,245.19035725441935,405.9860499416626,-921.8291516972151
38,582.5606698310813,113.26228065950332,519.2764498992012,-1254.8363066734714
39,592.750699231224,363.09931937864553,283.9637790416047,-255.8538777829846
40,589.4743457467317,259.70600047189237,453.12809539215715,-940.7365485479505
41,595.3924960218909,312.1469313672638,456.9216792580349,-982.5974975932737
42,596.158051140075,364.4289769813357,308.813100303127,-360.25197363712607
43,587.7513609584943,258.4673578111202,502.5459810084796,-965.34992924543
44,595.5904873040424,301.0479086281243,352.6529829722889,-585.2913977707732
45,587.7810038569788,238.4713045667887,262.9319955985788,-323.42109203530464
46,589.8551439660916,320.1845909390161,270.88262537595494,-187.9156288358493
47,592.2073321389631,260.3994916728979,367.9054185485266,-349.47274622815235
48,593.1987777731109,474.5857214682238,227.33179282943104,-253.2234221471764
49,604.6028618573112,510.63370602018324,175.8352299003574,14.869526368170577
50,593.3605235740758,534.6092233038179,85.95328343623548,332.1532887119412
51,592.1947745308478,334.776033425942,377.6353691483633,-525.8800006580398
52,588.3324439588033,356.895920109162,329.80635142932096,-475.5485330512533
53,596.689364708209,481.9917685697941,206.94341325248084,-30.27167385653585
54,592.1133186467767,544.5447888942589,95.6647196609162,231.5985904027649
55,590.450627429716,462.99069205125943,163.56765590026575,61.88137864136377
56,590.8309335520477,474.9775115832361,215.38374170523264,-122.39999419901565
57,596.0871914771316,566.3220549251783,49.034989610364526,403.82680074777363
58,592.6255263044677,503.19047966942287,153.93663874245973,117.79316648490077
59,593.8599838893881,559.1460161974028,65.64620741683684,337.60864683526245
60,594.5849516749988,585.0479161991273,5.197956529299437,577.1983699752515
61,590.0273011051526,582.8389648073276,11.358211678702187,541.4719215613013
62,592.3307645607713,581.5586526127721,19.365535332894346,510.44331133163155
63,593.9465605969565,545.4561911802507,117.72131281775002,116.90965202664296
64,592.7982597023491,570.419771620584,30.5249266185838,498.40691968712525
