generation,max,mean,std,min
0,-22.34668832480389,-30.70996392498201,4.537238561979701,-43.34232909207786
1,-21.602466357217928,-28.054002461021124,4.7797531462818235,-45.16436065803712
2,-24.44497013932329,-30.070050012330356,3.8267593118225802,-38.6006505628824
3,-20.77396978686384,-30.34961216922748,4.503363110797748,-43.86127819327276
4,-24.27039227356149,-29.373073800556675,2.8659157942608275,-37.63860289554673
5,-23.274818717369804,-28.36741297841902,3.8713218416552677,-41.875335841847146
6,-22.455840554097314,-28.60711335072485,3.2032893410095618,-34.38533537525849
7,-23.089906741282867,-27.735983837583564,2.8699385392670185,-34.411205902618704
8,-22.50854788097663,-29.19993253118617,3.137101870446076,-35.99349482859681
9,-21.673178950558697,-28.622609313823595,4.340725332206646,-39.4849843295822
10,-21.674780996303802,-30.102306624772535,3.9697950420107078,-39.24515796045321
11,-23.45972579945361,-29.12265073369001,3.2566579806234777,-36.74975259321274
12,-20.207416444170697,-28.789899402734687,3.861946726827217,-36.10974416672187
13,-24.340725498902007,-28.30541826712963,2.5458031560938252,-34.08443241564069
14,-22.52603523148597,-26.83271991549071,2.459113625682659,-32.58090231054436
15,-20.079668251613285,-28.831549132738743,5.993999679866337,-49.136956212686236
16,-19.426767585589786,-27.821741408669407,3.780813555659038,-33.70023936738278
17,-20.228461459113976,-27.785750813448566,2.891836416180349,-34.00719071616123
18,-22.530706236522565,-27.6972256211384,3.106733434306795,-38.0272680167233
19,-21.689345449425904,-27.86687438212597,2.853795412401898,-32.84342696099104
20,-22.37032808674499,-27.53389343776718,2.7983954958087773,-34.50035881397282
21,-23.867476248056114,-27.862794617163598,3.0153486226503468,-34.36263802610212
22,-21.894536660124935,-28.23912986333787,3.717253444345193,-41.755542554551006
23,-20.94308859587268,-28.33131422466219,3.7600378424723115,-39.799016987271884
24,-23.151412500156564,-28.119829293002283,2.824203911075604,-34.754320025949006
25,-23.14968366209198,-27.9682900364997,2.2457747512627013,-32.963709780659386
26,-17.905915841401352,-27.53980667959851,2.961248657011371,-33.484693459004305
27,-21.833544093936947,-27.591313237356285,3.5240726830926024,-37.977329988038875
28,-21.343002684404688,-28.09363352552975,2.6687777313020407,-32.703349373622366
29,-20.74384728073933,-28.208809397151835,2.798689016028163,-33.06735810640781
30,-19.292296643409333,-28.42058150604486,4.283319253197309,-35.736417005004505
31,-22.548505367410492,-27.036821171521314,3.2865371203926164,-37.62895831101783
32,-19.89762319086817,-29.147877488129776,4.353368617856911,-42.59204055226975
33,-21.370147839830306,-27.06078722075997,2.7198052504861887,-32.391553660400355
34,-22.28429847994297,-27.370991866352313,2.593084227098086,-33.12876117576361
35,-21.8728431144771,-28.12596727717333,3.146107668358767,-33.551235871335294
36,-22.05276728254835,-27.38473299543211,3.1302401748908233,-33.5198619755764
37,-21.706177858928154,-27.612052476504594,2.4383485734347095,-34.24662241108311
38,-21.276987012969673,-28.06576677322163,2.887516004505913,-33.61263431592283
39,-23.133213658130018,-28.02495866513966,2.6335402475062786,-33.95400019540183
40,-23.247384078997293,-27.388710658702326,2.4177848579678303,-32.131152680345764
